TMA_PA_Manggarai (cm),C.H. Bogor (mm),C.H. Depok (mm),C.H. Manggarai (mm)
645,0.1,0,0.2
655,0,0,0.2
655,0,0,0.2
650,0,0,0.2
640,0,0,0.1
635,0.1,0.1,0.2
635,0.2,0.1,0.2
630,0,0.1,0.1
625,0.2,0.1,0.1
620,1.8,0.9,0.2
620,1.9,0.2,0.2
615,0.9,2,0.7
615,0.4,0.2,1.6
610,0.5,0.4,0.1
610,0,0.1,0.1
610,0,0,0
610,0,0,0
625,0,0,0.1
625,0.1,0,0
620,0.2,0.1,0.1
610,0.1,0.2,0.1
610,0.1,0,0.1
605,0.5,0.1,0.8
605,0.4,0.1,0.7
600,0.2,0.1,0.4
600,0.2,0,0.4
605,0.1,0.2,0.2
605,0.1,0,0.1
625,0,0,0.1
630,0.2,0,0.3
630,0.3,0.1,0.3
630,1.7,0.2,0.7
630,0.7,0.4,0.6
625,0.7,0.8,0.6
625,1.9,2.5,1
625,1.2,2.4,0.6
625,0.4,1,0.1
630,0.1,0.4,0
630,0.1,0.3,0
630,0.1,0.2,0
635,0.1,0.2,0
635,0,0.1,0
635,0,0.1,0
635,0.2,0.1,0
630,0.3,0.2,0.1
630,0.5,0.4,0.1
625,0.3,0.1,0.1
620,0.3,0.1,0.3
620,0.3,0.1,0.1
615,0.3,0.3,0
615,0.3,0.6,0
610,0,0.3,0
610,0,0,0
610,0,0,0
615,0.1,0.1,0.1
610,0.2,0.3,0.4
610,0.4,0.3,0.3
610,2.1,0.1,0.1
610,0.7,0.3,0.4
610,0.4,0.4,0.2
610,0.2,1.5,0.2
610,1.2,0.2,0.8
610,2.1,0.5,0.3
610,0.3,0.3,0.3
610,0.2,0.1,0.8
610,0.1,0.1,0.6
605,0.1,0,0.5
610,0.7,0,1.7
605,0.2,0.1,0.7
605,1.2,0.1,1.5
600,0.5,0.1,0.9
600,0.6,0,1.4
600,0.8,0,1.9
595,1.2,0.1,2.7
595,1.7,0.6,3
595,1.4,0.4,2.7
595,1.3,0.6,2.4
595,1.4,0.7,1.9
590,1.3,0.8,1.3
590,1.2,0.7,1.3
590,0.9,0.3,1.4
590,0.7,0.2,0.7
595,0.2,0.1,0.2
595,0.3,0.4,0.1
595,0.2,0.1,0.2
595,0.1,0.8,0.2
595,0.1,0.2,0
595,0.1,0.3,0.1
595,0,0.1,0
595,0,0.1,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
610,0,0,0
635,0,0,0
640,0,0,0
645,0,0,0
640,0,0,0
630,0,0,0
620,0.1,0,0.1
615,0.1,0,0
610,0.1,0,0
605,0.2,0.1,0.1
600,3.3,1.5,0.6
600,1.3,2.3,0.1
600,0,0.1,0
600,0,0,0
600,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
650,0,0,0
675,0,0,0
675,0,0,0
660,0,0,0
655,0,0,0
640,0,0,0
645,0,0,0
640,0,0,0
630,0.1,0,0
620,0.1,0,0.1
615,0.2,0,0.2
610,1.4,0,1.7
605,0,0.2,0
600,1.9,0,1.1
600,0,0.2,0.1
600,0,0,0
600,0,0,0
600,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
650,0,0,0
675,0,0,0
675,0,0,0
660,0,0,0
655,0.1,0,0.3
650,0.4,0,0.6
640,0.5,0,0.9
630,0.2,0,0.2
620,0.1,0,0
615,0.3,0,0.3
610,0.1,0.1,0.1
605,0.8,0.5,0.1
605,1.9,0.2,1.9
630,2,0.4,0.7
615,0.1,0.9,0.1
600,0.7,0,0.6
600,0.7,0.1,0.7
600,0.1,0.3,0.3
595,0.3,0,0.7
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
590,0,0,0.3
590,0.1,0,0.2
590,0,0,0
590,0,0,0
590,0,0,0.1
595,0,0,0.1
595,0,0,0.2
595,0.1,0,0.4
595,0.1,0.1,0.3
590,0.1,0.2,0.2
595,0.3,0.2,0.2
600,0.2,0.1,0.1
600,0.2,0.2,0.2
595,0.2,0.2,0.4
595,0,0.1,0.3
595,0.6,0.4,0.5
595,0.8,0.2,0.2
600,0.2,0,0.1
600,0,0,0.3
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0
595,0,0,0.1
595,0,0,0.1
595,0,0,0.2
595,0,0,0.1
595,0,0,0.2
590,0,0,0.1
590,0.1,0.1,0.1
595,0.1,0,0.1
595,0.2,0.1,0.2
595,0.1,0,0.1
595,0.2,0,0.1
595,0.1,0,0.1
600,0.6,0.2,0.2
600,0.1,0.8,0
600,0.1,0.3,0
600,0.1,0.1,0
595,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
600,0,0,0
595,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0.1,0,0
590,0,0,0
590,0.5,0,0.1
590,0.8,0.8,0.3
590,0.2,2.8,0.3
590,0,0.3,0.1
590,0,0,0
590,0,0.1,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0
590,0,0,0.1
590,0,0,0.1
585,0,0,0.1
585,0,0,0.1
585,0,0,0.1
585,0,0,0.1
585,0,0,0.1
595,0,0,0.1
595,0.1,0.1,0.2
600,0.2,0.1,0.4
600,0.2,0.1,0.3
595,0.2,0.1,0.2
595,0.3,0.1,0.3
595,0.2,0.1,0.2
595,0.1,0,0.1
590,0.1,0,0.1
590,0.1,0,0
590,0.1,0,0
585,0.1,0,0
585,0,0,0
585,0,0,0
585,0,0,0
585,0,0,0
585,0,0,0
585,0,0.2,0
585,0,0,0
585,0,0.1,0.1
585,0,0,0.1
585,0,0,0.2
585,0,0,0.2
585,0,0,0
585,0,0,0
585,0,0,0
585,0.1,0,0.1
585,0.1,0.1,0.1
585,0.1,0.1,0.1
585,0.2,0.2,0.1
585,0.1,0.1,0.1
590,0.3,0.1,0.1
590,2.1,2.6,1
590,2.2,0.3,1.6
585,0.8,0.1,2.1
585,0.1,0.1,0.1
585,0,0,0.4
585,0,0,0.1
580,0,0,0
580,0,0,0
580,0,0,0
580,0,0,0
